entertainment n.娱乐（活动）；招待
neglect v.疏忽；疏漏；忽视
tailor n.裁缝
reason n.理由，原因；理性
pursuit n.追求；追赶；消遣，爱好
boom n.繁荣；流行；迅速增长；隆隆声
brandy n.白兰地
contrive v.设法做到；巧妙地策划
shutter n.百叶窗；快门
mob n.暴民；黑帮；一群
nominal adj.名义上的；象征性的；名词性的
storm n.暴风雨；浪潮
impatient adj.不耐烦的；急切的；不能容忍的
active adj.活跃的；积极主动的；有效的
nuisance n.麻烦事，讨厌的东西；妨害行为
intimidate v.恐吓，威胁
tribute n.致敬；贡品
evacuate v.疏散；撤离；排空
vice n.不良习惯；副职；恶行
writer n.作家，作者
Saturday n.星期六
sake n.缘故；价值；日本清酒
shop n.商店
proposition n.提议；主张；待处理的问题
appeal n.上诉；吸引力；呼吁
fast adj.快的；迅速的；头脑灵活的
magnificent adj.壮丽的；值得称赞的
firm adj.硬的；坚固的；坚决的
multiple adj.许多的，多种多样的
infrared n.红外线
event n.事件；活动；比赛项目
profile n.（人的）侧影；简介；关注度；外形
chairwoman n.女董事长，女主席
semester n.学期
romantic adj.浪漫的；浪漫主义的；不切实际的
criticism n.批评；批判；评论
thing n.东西，事物；事件
comprehension n.理解（力）
salesman n.（男）售货员，推销员
angle n.角，斜角；角度；立场
me pron.我
endow v.向（机构）捐款；天生具有
simulate v.模仿；模拟；冒充
outbreak n.爆发；突然发生
simple adj.简单的；朴素的；普通的
wrench v.猛扭；扭伤；使痛苦
bold adj.大胆自信的；轮廓突出的；黑体的
odds n.（事情发生的）可能性；困难，不利条件
couch n.长沙发；（诊室内的）诊察台
exceedingly adv.极其，非常
intimate adj.亲密的，紧密的；私人的
ghost n.鬼魂，幽灵
intellectual adj.智力的，脑力的；有才智的
exclaim v.呼喊，惊叫；大声说
accordance n.符合，一致
method n.方法；办法；条理
slight adj.少量的；轻微的；纤细的
suit n.套装，西装；诉讼案
tolerant adj.容忍的，宽容的；能耐…的
will aux. v.将；愿意；必须
annoy v.使心烦，使生气；打扰
abolish v.废止，废除
beast n.野兽；凶残的人
awake adj.醒着的
splash v.（使）泼洒；泼打戏水
stoop v.弯腰，俯身；驼背
rice n.大米，稻米
reverse v.彻底改变；废除；使反转；倒车
cake n.蛋糕；饼状食物
absent adj.缺席的；缺少的；心不在焉的
pants n.长裤；内裤
insist v.坚持要求，坚决认为（或主张）
legislation n.立法；法律，法规
rear n.后部；背部
indignant adj.愤慨的
sue v.控告
bloody adj.残暴的；血腥的；流血的；非常的
miracle n.奇迹；（上帝创造的）神迹；精品
flow n.流，流动；连贯；不断供应
mirror n.镜子，真实反映
noise n.噪音；声音；干扰信息
adverb n.副词
block n.大块；一批；街区；大楼；阻碍
millionaire n.百万富翁
branch n.树枝；分部；分支
some det.一些；某些；好些；少量的
suppress v.镇压，压制；封锁；抑制
well-known adj.众所周知的，熟知的
expose v.暴露；揭露；使面临（有害事物）；使接触；曝光
school n.学校；学院；学派
resolution n.决心；解决；决议；分辨率
open adj.开放的；开阔的；营业的
ambiguous adj.模棱两可的，含糊的；有歧义的
rectangle n.长方形；矩形
trumpet n.喇叭，小号；喇叭形物
profit n.利润；益处；利益
isolate v.（使）隔离，（使）孤立；使离析
put v.放置；安装；使处于；表达
ancestor n.祖先；（动植物的）原种
groan v.呻吟；抱怨；（木头等）发出嘎吱的声音
shield n.盾牌；屏障；挡板；盾形徽章
famine n.饥荒
chemistry n.化学；（彼此间的）吸引
develop v.发展；开发；增强；患病；出现问题；冲洗胶卷
plant n.植物；工厂；发电厂
service v.维修，保养；提供服务
short adj.短的；矮的；短期的；缩写的
available adj.可获得的；有空的
gaze v.凝视，注视
conversation n.（非正式的）交谈
technology n.技术；技术（学）
proposal n.提议，建议；求婚
channel n.频道；水渠；航道；海峡；途径
liberate v.解放；使摆脱约束
broom n.扫帚；金雀花
logic n.逻辑（学）
crash n.撞车；碰撞；坠毁；破裂声；暴跌；崩溃
query n.疑问，询问；问号
intense adj.强烈的；剧烈的；热情的
torment n.苦痛；折磨；苦难之源
paralyze v.使瘫痪；使不能正常工作
pan n.平底锅；烤盘；秤盘
tablet n.平板电脑；药片；碑，匾
shiver v.战栗，发抖
setting n.环境，背景；设定；档位
chemical adj.化学的
careful adj.小心的；细致的
dread v.恐惧，担心
memo n.备忘录
cruise n.航行；乘船游览
kill n.捕杀；猎物
cathedral n.大教堂
await v.等待；期待；将发生在
graphic adj.绘画的；图案的；生动的
diffuse v.散播；传播；弥漫；缓解
ambulance n.救护车
device n.仪器，设备；手段；花招
jurisdiction n.管辖权，司法权；管辖范围
urge v.敦促；竭力主张
remedy n.解决方法，疗法
vary v.有不同，相异；改变
statue n.雕像，塑像
denounce v.谴责，指责；告发
ask v.询问；请求；邀请；要价；期望
chin n.下巴
clinic n.诊所；门诊部
exciting adj.令人激动的，使人兴奋的
calendar n.日历；日程表；历法
undoubtedly adv.毫无疑问地
suburb n.市郊，郊区
expend v.消费；耗费
penetrate v.穿过，进入；渗透；透过…看见；发现
therapy n.疗法，治疗
reasonable adj.明智的；价格公道的；正当的；适当的
conduct v.执行；指挥；引导；表现；传导
nephew n.侄子，外甥
pen n.钢笔；笔；围栏；畜栏
obsession n.痴迷；着魔
artificial adj.人造的；人为的；虚伪的
monetary adj.金融的，货币的
rabbit n.兔子；兔肉
broker n.经纪人
angel n.天使；善良的人
invert v.颠倒，倒置，（使）倒转
because conj.因为，由于
indignation n.愤慨；愤怒
grandmother n.奶奶，外婆，（外）祖母
vegetable n.蔬菜；植物人
strategy n.策略；战略
basketball n.篮球
fuse v.融合；熔化
railway n.铁路（系统）
poverty n.贫困；短缺
compound n.化合物；有围栏的场地
scent n.气味；香水；预感
merely adv.仅仅，只不过
reply n.答复，回答
physicist n.物理学家
raid n.突袭；突击搜查；打劫
range v.徘徊；变动，变化；延伸，包括；排列成行
responsible adj.有责任的，负责的
transistor n.晶体管
near adj.（距离）近的；不久之后；随后的；近似的
waterproof adj.防水的
greedy adj.贪婪的；贪吃的
jewelry n.珠宝，首饰
lonely adj.孤独的，寂寞的；偏僻的
wind n.风；胃气；管乐器
combination n.结合（体）；数字密码组合
hospital n.医院
which pron.哪个，哪一个，…的那些
concern v.影响，涉及；使担忧；与…有关；关切
bin n.储物箱；容器；垃圾箱
constituent n.成分；选民
lay v.放置；铺设；下蛋，产卵
unify v.统一，使成为一体
lavatory n.卫生间
predecessor n.前辈，前任；前身
vacant adj.空着的；未被占用的；呆滞的
fireplace n.壁炉
cupboard n.橱柜
point n.要点；意义；地点；尖端；点；得分
cinema n.电影院；电影
stab v.刺，戳
wrinkle n.皱纹，皱褶
unexpected adj.出乎意料的
corporate adj.公司的；法人的；全体的
activity n.活动，行动；状况
classroom n.教室
slap v.（用手掌）打，掌掴；拍击
delicate adj.易碎的，脆弱的；精细的，微妙的
unity n.团结，统一；和谐；一致性
heroic adj.英雄的，英勇的
collective adj.集体的，共同的；全体的
eager adj.渴望的，热切的
heir n.继承人；接班人
proximate adj.（时间、顺序等）最接近的
arrow n.箭；箭头（符号）
back n.背；后面；末尾；靠背；后卫
benevolent adj.仁慈的，乐善好施的
ride v.骑马；骑车；乘坐；嘲弄
weekly adj.每周的
simultaneous adj.同时发生的，同步的
process n.步骤；过程；工序；变化过程
otherwise adv.否则，除此之外；在其他方面
accountant n.会计
track n.小道；踪迹；轨道；站台；跑道；方向；一首歌曲
syndrome n.综合症状，症候群；典型表现
temporary adj.暂时的；短暂的
integrity n.正直；诚实；完整，完好
robot n.机器人
judgement n.审判；判断力
leaf n.叶子；书页
proclaim v.宣布，声明；表明
earth n.地球；陆地；土壤
cook n.厨师；做饭的人
highly adv.非常；高水平地；赞赏地
facet n.方面；小平面
obtain v.得到；流行；存在
mischief n.恶作剧；使坏的念头；伤害
kidnap v.劫持；绑架
false adj.错误的；人造的；伪造的
tone n.语气；风格；色调；音色；肌肉的紧张性
muscle n.肌肉；体力；影响力
perspective n.视角，观点；客观判断力
merit n.优点，美德；功绩，长处
height n.身高；高度；高处；顶点
limb n.（人、四足动物的）肢体；树枝
death n.死亡；毁灭；死神
coward n.懦夫，胆怯者
reap v.获得；收割，收获
screw n.螺丝（钉）
pub n.酒吧；酒馆
commemorate v.纪念
trivial adj.琐碎的，无价值的，不重要的
regular adj.有规律的；经常做某事的；通常的
sentence n.句子；判决
produce n.（尤指）农产品
inflict v.使遭受打击
rug n.小地毯；小毛毯
script n.剧本；手稿
disguise v.装扮，伪装；掩饰
master n.硕士；主人；大师；主控机件
compass n.指南针；罗盘；界限；圆规
giant adj.巨大的，伟大的
rub v.擦，搓，磨；涂抹
laser n.激光
recipient n.受方，接受者
issue n.议题；发行（物）；困难；（书刊等）期，号
grasp v.抓紧；领会；急忙抓住（机会）
boot n.靴子；猛踢
subtract v.减（去）
deplore v.强烈反对，谴责
collaborate v.合作；勾结，通敌
narrative n.叙述（文）
cave n.洞穴；山洞
abnormal adj.反常的；不正常的
expect v.预料；期待；指望；怀孕
defeat v.击败，打败；使失败
stop v.（使）停止；（使）中断；阻止；停留
prevail v.流行，盛行；获胜；占优势
margin n.边缘；差额；利润；余地；页面的空白边
area n.区域，地区；领域；面积
agency n.代理机构；专门机构；办事处
sofa n.沙发
high adj.高的；含量高的；地位高的
good adj.好的，优质的
apart adv.相隔，相距；分开地；除外
gigantic adj.巨大的，庞大的
toward prep.朝，朝向，对，为了
volcano n.火山
pencil n.铅笔
ingredient n.成分；原料；因素
nickname n.绰号
last adv.最后，最终；最近，上一次
strenuous adj.费力的；奋力的
singular adj.单数的；非凡的；奇特的
overseas adj.外国的，海外的
pole n.杆子；地极；磁极；极端
reveal v.揭示，披露；露出，展现
consolidate v.（使）巩固，加强；合并
relate v.使联系；有关联；叙述；有血亲（或姻亲）关系
instrument n.器械；仪器；乐器；手段
chip n.芯片；薯条，薯片；缺口；碎屑；筹码
outing n.郊游，短途旅行
drop v.（使）滴下；（使）落下；（使）降低；（使）减少；停止；略去
style n.风格，方式；款式；时髦；风度
industry n.工业；行业；勤奋
desire n.渴望，欲望；渴望的事
installation n.安装；装置；设施
unlikely adj.不大可能的；难以信服的
TV n.电视
blush v.（因害羞等而）脸红；（因某事而）羞愧
rubbish n.垃圾；瞎说；不重要的（或无用）东西
shorthand n.速记法
aware adj.知道的；察觉的；对…有意识的
vicinity n.附近；周围地区
complete adj.完全的；完整的；完成的；包括
nostalgic adj.怀旧的
elevator n.电梯；升降机；谷仓
detail n.细节；装饰细部；次要部分；小分队
landscape n.风景；形势；乡村风景画
tow v.拖；拉；牵引
down adj.情绪低落的；（计算机系统）停止运行的
configuration n.布局，构造；配置
machine n.机械装置；（组织的）核心机构；机械化的人
two num.二
persevere v.坚持不懈，孜孜不倦
tea n.茶叶，茶水，茶点
scar n.伤疤；（精神）创伤
package n.包裹；包装；一组（建议等）
elegant adj.优雅的；精美的；简练巧妙的
exemplify v.举例说明；是…的例证（或榜样）
pedal n.脚踏，踏板
tension n.紧张（局势）；矛盾；张力
dish n.碟；一道菜；盘状物；餐具
objection n.反对；反对的理由
expertise n.专门知识（或技能等），专长
shortcoming n.短处；缺点
cotton n.棉，棉织物
choke v.（使）窒息；使哽咽；使阻塞
deep adj.深的；低沉的；严重的；强烈的；渊博的
preference n.偏好；偏爱的人（或事物）
beneath prep.在…的下层，在…底下；（在级别上）低于，次于
split v.分裂，分割；分担；拆分；断绝关系；迅速离开
client n.委托人，当事人；客户
detect v.发现，察觉；探测
crust n.面包皮；酥皮；硬外壳；地壳
anger n.愤怒，生气
hide n.（观测鸟兽的）隐蔽处；兽皮；人身安全
laptop n.笔记本电脑
vicious adj.狂暴的；残酷的；凶猛的；恶毒的；恶劣的
let v.让，允许；出租
circle n.圆；圆圈；圆形；圈子
murmur n.低语；嘟囔
stomach n.胃，腹部；胃口
advisable adj.明智的，可取的
batch n.一批，一组，一群
official adj.官方的；正式的；公职的
wrong adj.出错的；错误的；不适当的；不正常的
football n.足球；（美）橄榄球
affluent adj.丰富的；富裕的
bounce v.弹跳，跳动；蹦蹦跳跳的（去某处）；解雇
study v.学习，攻读；审视；研究
incentive n.刺激，鼓励；动机；让利
candle n.蜡烛
burst v.（使）爆裂；暴涨；突然出现
symmetry n.对称；相似
narrow adj.狭窄的；勉强的；狭义的
until prep.直到…才；直到…为止
error n.错误；失误
white adj.白色的；白种人的；脸色苍白的
nerve n.神经；勇气；胆量
explosive adj.易爆炸的；爆炸性的；激增的
envisage v.想象，设想
picnic n.野餐
disposal n.处置；变卖
all det.所有，极度，尽量，全是，任何
radical adj.根本的，彻底的；激进的
continuous adj.连续的；连贯的
optimum adj.最优的，最佳的
suppose v.料想；假定，设想；（婉转表达）要不
rage n.风靡一时；狂怒
garbage n.垃圾；垃圾箱（场）；废话
final adj.最后的，最终的
thick adj.厚的，粗的；浓密的
die v.死亡；凋谢；消亡
considerable adj.相当大的，相当重要的
dorm n.宿舍
aggressive adj.好斗的；有说服力的；积极进取的
senior adj.资深的；成人的；毕业年级的
mug n.马克杯；一大杯的量
estimate v.估计；判断；估价
silver n.银；银币；银器；银色
regulation n.规章，条例；管理
prestige n.声望；威信
crack v.（使）破裂；砸开；重击；（使）发出爆裂声；崩溃；破译；解决
click v.点击；使发出咔嗒声；恍然大悟
counsel n.律师；忠告，建议
extravagant adj.过于昂贵的；耗费过多的；奢侈的
prescription n.处方（药）；开处方；秘诀
tonight adv.在今夜，在今晚
research n.研究，探索，调查
crab n.螃蟹；蟹肉
electrician n.电工，电气技师
sheep n.羊；绵羊
commute v.通勤；减刑
badly adv.非常；差地；严重地；负面的
genetic adj.基因的，遗传的
manufacture v.生产；制造；编造
rod n.杆，棒，棍，鱼竿
breakdown n.故障；（关系）破裂；崩溃；明细
thin adj.薄；细；瘦；稀疏的
rash adj.鲁莽的，轻率的
level adj.平的；等高的；平静的
pint n.品脱
horrible adj.可怕的；糟糕的；令人厌恶的
meeting n.会议；会面；运动会
tremendous adj.极好的；极大的，巨大的
welfare n.幸福；（社会）福利；社会保障金
humble adj.谦卑的；卑贱的；粗陋的
spy n.间谍，密探
sophomore n.（高中或大学）二年级学生
volt n.伏特
monster n.怪物；巨物；恶魔
modern adj.现代的，近代的
shall mod. v.将要；可以；会
goods n.商品；私人财产
deem v.认为，视为，相信
ignite v.燃烧，点燃；激起
kindness n.善良；宽容；友好的行为
mutual adj.共同的，共有的；相互的
concrete adj.具体的；混凝土的；有形的
them pron.他（她，它）们；代指性别不详的人
tradition n.传统
peak n.山峰；顶峰；顶点；帽檐
frog n.蛙
authentic adj.真正的；真迹的；真实的；可靠的
ego n.自尊心，自我意识，自我
sprinkle v.洒；喷；淋；点缀
transform v.（使）彻底改变；转化
mark n.污点；记号；斑点；标志；成绩
residence n.住所；居住（权）
pour v.倾倒；倾泻；下大雨；…不断涌现
tactic n.策略；战术
congratulate v.祝贺
privilege n.特惠（待遇）；荣幸
overlook v.忽略；不理会；俯视
luck n.运气；好运；侥幸
training n.训练，培训，锻炼
suspicious adj.引起怀疑的，可疑的
vegetarian n.素食主义者
execute v.处决；执行；完成
title n.标题；职称；一种，一本；称号
fat adj.肥胖的；丰厚的；厚的
arithmetic n.算术
adventure n.冒险（经历）；冒险精神
profession n.职业；业界人士；公开表示
whether conj.是否；无论，不管
gut n.直觉；内脏；勇气
barrier n.障碍；屏障；分界线；难以逾越的数量
zone n.地带；区域
sometime adv.在某个时候
ridge n.山脊；隆起
bewilder v.使迷惑；使糊涂
activate v.活性化；启动
compare v.比较；对比；比作
mediate v.调解，调停；找到（解决分歧方法）；使…可能发生
survival n.存活，幸存；幸存物
hysterical adj.歇斯底里的；极其可笑的
wherever adv.究竟在哪儿
cause n.原因；理由；事业
fate n.命运
translation n.翻译；译文
never adv.从未，从不，绝不
drug n.药物；毒品
excel v.擅长；出色；突出
tug v.拉，拖，拽；猛拉
bell n.铃（声），钟（声）；钟状物
cannon n.大炮；机关炮
relish v.享受，从…获得乐趣
intention n.意图，目的
withdraw v.撤回；提取；停止提供；退出；脱离社会
stride v.大步走，阔步行走
powder n.粉末；火药
efficient adj.效率高的；有能力的
shot n.射击；射手；一击；尝试；射门，投篮；照片；镜头；注射；少量烈酒
verge n.边缘；临界点；路缘
aim n.目标，目的；瞄准
hay n.干草；少量的钱
expel v.开除；驱逐出境；排出
hybrid n.杂交动物（或植物）；混合物
initial adj.最初的，开始的
pocket n.小口袋；财力；小块地区
fore adj.前部的
controversy n.（公开的）争论，争议
affiliate v.使隶属；加入，并入（机构等）
at prep.在 (某处、某时间等)；向，朝
noon n.中午，正午
elect v.选举；作出选择
recommend v.推荐；建议；劝告；使受欢迎
ebb v.退潮；衰退
sink v.（使）下沉；下陷；倒下；降低；挖，掘
clergy n.神职人员
sleep n.睡觉；睡眠时间
sin n.罪，罪恶
operational adj.日常业务的；运作的；操作上的
commonwealth n.英联邦；自治政区
cousin n.同辈表亲，堂兄，表兄，远房亲戚
skyscraper n.摩天大楼
sport n.体育运动
entail v.牵涉；需要，使必要
criminal adj.犯罪的；刑事的
contaminate v.弄脏，污染；毒害（思想）
brother n.兄弟；僧侣
overtime n.加班；加时
mile n.英里；大面积；长距离
quilt n.被子；床罩
briefcase n.公文包
ministry n.（政府）部；神职
suggestion n.建议；暗示；迹象
controversial adj.有争议的
committee n.委员会
institute n.协会，研究所
sell v.出售；售价为
and conj.和，与；加上；然后；那么
hurricane n.飓风
incidentally adv.附带地，偶然地；顺便提一句
legend n.传说，传奇人物；图例
capture v.捕获；攻占；赢得；记录，描述；引起（兴趣等）
among prep.在…当中；…之一
turbine n.涡轮机
sigh v.叹气；叹着气说；悲鸣
pop n.流行音乐；砰的一声；（称呼）爸爸
lamp n.灯
feed v.喂养；进食；养活；供给
character n.角色；性格；特性；字母
maintain v.维持；保养；坚持；供养
shampoo n.洗发水
airport n.机场
situate v.使坐落于，使处于
prosperity n.繁荣，兴旺，昌盛
ship n.大船，舰
transfer v.（使）转移；（使）调动；转让；传染（疾病）；换乘
farther adj.较远的
lovely adj.美丽的，令人愉快的
assistance n.帮助；协助
disturbance n.干扰；骚乱；失调；紊乱
scatter v.撒播；使分散
a article.一（个）；每一（个），任一（个）
diameter n.直径
sensation n.感觉；知觉；轰动
advertise v.做广告；宣传
version n.版本；变体；说法
family n.家庭；家族；（动植物）科
dictate v.口述；使听写；命令；支配
equal adj.相同的，平等的，能胜任的
assimilate v.理解透彻，消化吸收；使…同化
fortnight n.两周
bull n.公牛；大型雄性动物；买空者
governor n.统治者；州长；董事；负责人
impart v.告知；传授；赋予（某种性质）
belief n.相信，信心；信念，信仰
compartment n.隔间；隔层
freelance adj.自由职业的
agreeable adj.宜人的；欣然同意的；可以接受的
haste n.匆忙，仓促
spoon n.勺，匙
collision n.碰撞（事故）；冲突
infrastructure n.基础设施
assert v.断言；坚持
countryside n.乡村，农村
significance n.意义，含义；重要性
microscope n.显微镜
readily adv.便利地；欣然地；容易地
reliance n.信赖，依靠
propel v.推动；驱动
midst n.中央，中部，当中
same adj.同一的；相同的
customer n.顾客
get v.得到；去取；受到；感染上；（使）达到；抵达；理解
machinery n.机器（总称）
occupation n.职业；消遣；业余活动；占领
rare adj.稀有的；珍贵的；半熟的
appreciate v.欣赏；感激；意识到；升值
format n.版式；格式
onion n.洋葱（头）
club n.俱乐部；夜总会；击棍；（扑克牌）梅花
clean adj.（爱）干净的；无害的；空白的
telescope n.望远镜
usage n.使用，用法；利用率
allegiance n.拥护；忠诚
ethnic adj.（与）种族（有关）的；少数民族的；具有异国风情的
contribute v.捐赠；是…的原因之一；做贡献；促使
captive n.俘虏；被囚禁者
physics n.物理学
lateral adj.侧面的；横向的；平级的
pistol n.手枪
catch v.抓住；撞见；赶上；得病
six num.六
intuition n.直觉
outrage n.愤怒，愤慨；暴行
convince v.使确信，使信服；劝说
symposium n.专题讨论会，研讨会
carriage n.（火车）客车厢；四轮马车；运费
meat n.肉；重要的部分
economic adj.经济的；有利可图的
melon n.（甜）瓜
allege v.断言；声称；指控
cordial adj.热情友好的；真心的
reputation n.名声，名誉
silicon n.硅
used adj.适应，习惯于…的；二手的
unemployment n.失业（状态）
advocate v.拥护，支持，提倡
compile v.编纂；收集（信息）
duration n.持续时间；期间
bay n.湾，海湾
solar adj.太阳的；太阳能的
basin n.盆；洗手池；盆地；流域；内港
possible adj.可能的；合理的
geology n.地质学；地质特征
circumference n.圆周，周长；周边
mercy n.仁慈；怜悯
slam v.砰地关上；猛力拉或扔；猛烈抨击
question n.问题；怀疑；议题
stable adj.稳定的，稳固的
strap n.带子；表带
university n.大学
core n.果核；中心；核心；精髓
provision n.供给；粮食；条款；准备
somewhere adv.在某处；大约
enrich v.（使）充实，丰富；使富足
experiment n.实验，试验；尝试
sufficient adj.足够的，充足的
garlic n.大蒜
anywhere adv.在任何地方
special adj.特殊的；重要的；专用的
depend v.依靠，信赖；取决于
invest v.投资；投入（时间、精力等）；授予
hard adj.坚硬的；结实的；难懂的；艰难的
thought n.想法；心思；思考；关心；思潮
opera n.歌剧，歌剧院
postpone v.推迟；延期
July n.七月
framework n.框架，结构
shaft n.电梯井，通风井；杆，柄；轴
vanity n.虚荣心，自大；渺小
quiet adj.安静的；文静的
ray n.光线；射线；一丝
capacity n.容量；能力；生产量；职责
similar adj.类似的；相像的
department n.部门，系，处，司
headquarters n.司令部，指挥部；总部
compliment n.赞扬；致意
everyday adj.每天的；日常的
panel n.专题讨论小组；陪审团；镶板，嵌板；仪表板
dubious adj.怀疑的；不确定的
dominant adj.有影响力的；占支配地位的；显性的
often adv.经常；通常
circus n.马戏团；马戏表演
melody n.旋律；歌曲；音符编排
discover v.发现；发觉；发掘（人才）
square adj.正方形的；方的；平方；两清的
hierarchy n.等级制度；统治集团
massacre n.大屠杀
hoist v.升起，举起，提升
profitable adj.盈利的，有利可图的；有益的
flatter v.奉承，讨好；美化；使感到荣幸
hotel n.宾馆，酒店
week n.周，星期
launch v.发起；发射；推出（新产品）；开始
underline v.强调；突出；画线标出
baggage n.行李；（感情或思想上的）包袱
hundred num.一百；许多
likelihood n.可能性
liberal adj.思想开明的；自由的；人文教育的；（支持）自由党的；慷慨的
mount v.登上；骑上；安排；逐步增加
it pron.它
imitate v.模仿，仿效
fantastic adj.极好的；很大的；荒诞不经的
scheme n.计划；方案；阴谋
badminton n.羽毛球
dragon n.龙
battle n.战斗；争论；斗争
stipulate v.规定，明确要求
concentrate v.聚精会神；使…集中；注重
data n.数据；资料
pebble n.鹅卵石
repeatedly adv.重复地，再三地
kiss n.吻
trouble n.问题；烦扰；困境；疼痛；纷争
bridge n.桥梁；纽带；舰桥；鼻梁；桥牌
glad adj.高兴的；感激的；乐意的
regardless adv.不顾；不管；无论
function n.功能，作用；函数
payment n.支付；支付的款项；报偿
symbol n.象征（物）；符号，记号
congratulation n.祝贺（词）
poem n.诗，韵文
exchange n.交换；对话；汇兑；交流；交易所
gun n.枪
homogeneous adj.同种类的；同质的；均质的
principle n.道德原则；原理
grope v.搜索，摸索；猥亵
spaceship n.宇宙飞船
effective adj.有效的；事实上的；生效的
flat adj.平的；枯燥的；断然的；（轮胎）瘪了的；色彩单调的
badge n.徽章；标记；象征
command n.命令；控制，管辖；掌握；指令
achieve v.完成；达到；成功
analogue adj.模拟的；（钟表）指针式的
insure v.投保；承保；保护
thrift n.节约，节俭
vapour n.蒸汽
vein n.静脉；纹理；矿脉；叶脉；风格，方式
rigorous adj.谨慎的，细致的；严厉的
action n.行动（过程）；诉讼；行为
storey n.楼层
incline v.（使）倾向于，想要；（使）倾斜；点头
feedback n.反馈（信息）
minute adj.极小的；详细的；精确的
fail n.不及格
decisive adj.决定性的；关键的；果断的
violate v.违反；侵犯（隐私等）；亵渎
reptile n.爬行动物
wipe v.擦，拭；擦干净；抹去
express adj.特快的；快速的；明确的
surname n.姓
lens n.透镜，镜片
dress n.连衣裙；衣服
nasty adj.令人厌恶的；下流的；恼人的；严重的；糟糕的
sister adj.同类型的，如同姐妹的
hero n.男主人公；英雄；偶像
local adj.当地的，地方的；（身体上）局部的
float v.浮动；漂浮；轻盈走动；（汇率）自由浮动
stagnant adj.（水或空气）不流动而污浊的；停滞的
formula n.公式；方案；分子式；配方
surname n.姓
lens n.透镜，镜片
dress n.连衣裙；衣服
nasty adj.令人厌恶的；下流的；恼人的；严重的；糟糕的
sister adj.同类型的，如同姐妹的
hero n.男主人公；英雄；偶像
local adj.当地的，地方的；（身体上）局部的
float v.浮动；漂浮；轻盈走动；（汇率）自由浮动
stagnant adj.（水或空气）不流动而污浊的；停滞的
formula n.公式；方案；分子式；配方
pregnant adj.怀孕的；意味深长的
mix v.（使）混合；调配；融合；交往
December n.十二月
potential n.可能性；潜力
glitter v.闪耀；闪现，流露
republic n.共和国；共和政体
engineer n.工程师；技工
peanut n.花生
station n.车站；局；电视台
mainland n.大陆，本土
interior adj.内部的
restless adj.坐立不安的；得不到休息的
elite n.上层集团；社会精英
decade n.十年
dignity n.庄严，尊贵；自尊
fatigue n.疲惫；厌倦
envelope n.信封；外裹物
plead v.恳求；为…辩护，声援；找借口
instinct n.直觉；本能；天性；天赋
impose v.强制实行；把…强加于；使承受（令人不快的事物）
slice n.（切下的）薄片；部分
system n.系统；体系，制度
combat n.战斗；格斗
alliance n.联盟；结盟；联系
virtual adj.虚拟的；实际上的
chemist n.化学家；药剂师；药店
search n.搜寻，查找；搜索，检索
gene n.基因
medicine n.药；医疗，医学
shoulder n.肩膀；山肩，路肩
unit n.单位；一件；单元；组件
brilliant adj.聪明的；巧妙的；成功的；明亮的
far adj.较远的；远端的
ice n.冰
confer v.授予；协商
advice n.建议；劝告
tobacco n.烟草；烟叶
skull n.颅骨，脑壳
expand v.扩大；拓展；详谈
diversion n.消遣，娱乐；令人分心的事；转向，偏离
globe n.地球，世界；球状物
buffet v.连续猛击，打击
transplant v.移植；迁移，转移
add v.增加，相加；补充说；添加（特色）
immediate adj.立即的；当前的；接近的；直系的
though adv.然而；不过
domain n.（活动）范围，（知识）领域；领土
workshop n.研讨会；车间；作坊
reckless adj.鲁莽的，不计后果的
hungry adj.饿的；渴望的
torrent n.激流；（批评等的）迸发
revenue n.（财政）收入
wake v.醒来，唤醒；唤起记忆
accelerate v.（使）加速，加快
rank n.等级，级别；军衔；成员
camera n.照相机，摄影机
garage n.车库；汽车修理厂
barn n.谷仓；畜棚
argue v.争论；论证；证明，表明
handful n.少数；少量；一小撮
aggregate n.合计，总数
locomotive n.机车；火车头
allowance n.津贴；限额
sovereign adj.（国家）有主权的；有至高无上权力的
condition n.状态；条件；条款；处境；长期疾病
breathe v.呼吸；低声说；透气；充满
swarm n.一大群，一大批
evaporate v.（使）蒸发；逐渐消失
holy adj.神圣的；圣洁的
yourselves pron.你们自己
discern v.察觉出，了解到；分辨出
contain v.包含；容纳；克制（情感）
consistent adj.持续的；始终如一的；一致的
security n.安全措施；安保部门；安全；证券
signature n.签名；签署；鲜明特征
alert adj.机敏的；机警的；警惕的
river n.河；河流
difference n.差别；差额；分歧
temperature n.温度
longitude n.经度
illustration n.插图；图解，图示；实例
know v.知道；辨认出
scrutiny n.仔细检查；认真彻底审查
sly adj.狡诈的；诡秘的
acute adj.严重的；（疾病）急性的；灵敏的；锐角的
rainbow n.彩虹
engagement n.订婚；约会；预约；约定；参与
grand adj.壮丽的，堂皇的；宏伟的，大的
forget v.忘记（做）；不再想，不再考虑；举止不得体
removal n.移动；去除；免职；搬迁
reality n.现实，实际情况；存在；真实发生的事
secret adj.秘密的
represent v.代表；体现；描述；存在于；相当于
clause n.从句；（法律）条款
acquaintance n.泛泛之交；熟人
group n.组，集团，群；乐队
odor n.（尤指难闻的）气味
patrol n.巡逻（队）
reporter n.记者
scholar n.学者；奖学金获得者
super adj.极好的，超级的
elephant n.大象
